RcKB398,uNQMYeBmQ,lOihuqh9a,pIkq,21rkd6,yLdLOm,CLrQTb,LFThQKIw,sYef,00L3k,OjQ
67,13,40,81,21,35,24,0,13,50,2020/02/01
46,1,93,84,59,80,31,1,abc23,10,2020/02/01
67,92,95,31,89,86,11,0,abc23,50,2020/02/01
85,67,48,19,35,1,72,0,abc23,25.0,2020/02/01
58,53,38,21,53,71,52,1,abc23,50,2020/02/01
9,27,89,99,57,36,59,1,abc23,25.0,2020/02/01
11,28,53,99,77,21,60,1,abc23,50,2020/02/01
46,46,84,75,97,92,11,1,86,50,2020/02/01
49,56,42,88,49,79,11,1,,10,2020/02/01
27,65,20,37,29,73,70,0,abc23,10,2020/02/01
13,7,89,81,52,86,87,0,34,25.0,2020/02/01
8,92,51,37,23,46,86,1,abc23,10,2020/02/01
82,68,92,68,43,76,61,1,abc23,25.0,2020/02/01
30,57,49,34,83,26,43,0,nan,50,2020/02/01
